strain,accession,originating_lab,submitting_lab,segment
A/Virginia/10/2014,EPI526031,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/11/2017,EPI964864,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/12/2012,EPI376499,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/14/2012,EPI408597,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/15/2013,EPI503492,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/16/2012,EPI416174,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/16/2013,EPI503908,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/2/2008,EPI154192,?,Centers For Disease Control And Prevention,NA
A/Virginia/2/2009,EPI185926,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/2/2012,EPI378111,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/2/2015,EPI578664,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/23/2019,EPI1432524,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/24/2019,EPI1439637,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/27/2017,EPI1006349,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/28/2014,EPI555254,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/3/2010,EPI270337,New York State Department Of Health,Centers For Disease Control And Prevention,NA
A/Virginia/3/2011,EPI316230,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/3/2012,EPI355959,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/3/2013,EPI417224,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/3/2017,EPI895960,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/31/2019,EPI1486769,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/32/2016,EPI761879,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/32/2017,EPI1105129,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/33/2017,EPI1105137,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/35/2019,EPI1482548,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/36/2014,EPI560690,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/37/2016,EPI767474,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/39/2016,EPI752570,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/4/2007,EPI134527,Centers For Disease Control And Prevention,Centers For Disease Control And Prevention,NA
A/Virginia/4/2012,EPI358057,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/4/2015,EPI579334,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/5/2010,EPI309513,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/5/2011,EPI316233,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/5/2012,EPI359586,Who Collaborating Centre For Reference And Research On Influenza,Centers For Disease Control And Prevention,NA
A/Virginia/5/2017,EPI910910,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/50/2018,EPI1245107,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/51/2014,EPI685774,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/6/2011,EPI319830,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/6/2013,EPI454468,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/61/2016,EPI862512,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/62/2016,EPI868652,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/69/2016,EPI895944,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/7/2014,EPI524302,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/8/2012,EPI371953,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/8/2014,EPI520423,"University Of Virginia, Medical Labs/microbiology",Centers For Disease Control And Prevention,NA
A/Virginia/9/2012,EPI375029,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/9/2017,EPI964848,Virginia Division Of Consolidated Laboratories,Centers For Disease Control And Prevention,NA
A/Virginia/NHRC_TRU0003/2015,EPI645100,?,Other Database Import,NA
A/Virginia/UR06-0021/2007,EPI71825,?,Other Database Import,NA
A/Virginia/UR06-0489/2007,EPI77583,?,Other Database Import,NA
A/Virginia/UR06-0580/2007,EPI75528,?,Other Database Import,NA
A/Virginia/UR06-0605/2007,EPI133318,?,Other Database Import,NA
A/Vitebsk/927/2019,EPI1506606,Laboratory Of Influenza And Ili ,Crick Worldwide Influenza Centre,NA
A/Vladimir/135/2015,EPI624662,Ivanovsky Research Institute Of Virology Rams,Crick Worldwide Influenza Centre,NA
A/Vladimir/191/2018,EPI1313151,Ivanovsky Research Institute Of Virology Rams,Centers For Disease Control And Prevention,NA
A/Vladimir/8/2007,EPI155519,?,Centers For Disease Control And Prevention,NA
A/Vladivostok/11/2010,EPI367622,?,Other Database Import,NA
A/Vladivostok/36/2015,EPI624666,Ivanovsky Research Institute Of Virology Rams,Crick Worldwide Influenza Centre,NA
A/Vladivostok/73/2013,EPI466807,Ivanovsky Research Institute Of Virology Rams,National Institute For Medical Research,NA
A/Vologda/RII-01/2018,EPI1259097,Who National Influenza Centre Russian Federation,Crick Worldwide Influenza Centre,NA
A/Vologda/RII-3M/2018,EPI1280662,Russian Academy Of Medical Sciences,Who National Influenza Centre Russian Federation,NA
A/Voronezh/1/2016,EPI918501,Russian Academy Of Medical Sciences,Centers For Disease Control And Prevention,NA
A/Voronezh/10/2007,EPI155548,Russian Academy Of Medical Sciences,Centers For Disease Control And Prevention,NA
A/Waikato/1/2000,EPI34964,?,Other Database Import,NA
A/Waikato/1/2001,EPI35857,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Waikato/1/2003,EPI35249,Institute Of Environmental Science & Research,Other Database Import,NA
A/Waikato/1/2004,EPI45815,?,Other Database Import,NA
A/Waikato/1/2005,EPI40700,?,Other Database Import,NA
A/Waikato/1/2012,EPI417320,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Waikato/1/2013,EPI466117,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Waikato/10/2005,EPI44447,?,Other Database Import,NA
A/Waikato/102/2003,EPI36142,?,Other Database Import,NA
A/Waikato/105/2001,EPI36674,?,Other Database Import,NA
A/Waikato/108/2003,EPI39327,?,Other Database Import,NA
A/Waikato/115/2003,EPI36788,?,Other Database Import,NA
A/Waikato/12/2005,EPI40985,?,Other Database Import,NA
A/Waikato/120/2003,EPI35382,?,Other Database Import,NA
A/Waikato/122/2003,EPI36826,?,Other Database Import,NA
A/Waikato/129/2003,EPI36845,?,Other Database Import,NA
A/Waikato/133/2003,EPI36864,?,Other Database Import,NA
A/Waikato/147/2003,EPI36902,?,Other Database Import,NA
A/Waikato/148/2003,EPI36921,?,Other Database Import,NA
A/Waikato/15/2000,EPI39199,?,Other Database Import,NA
A/Waikato/15/2003,EPI39308,?,Other Database Import,NA
A/Waikato/15/2005,EPI44428,?,Other Database Import,NA
A/Waikato/150/2003,EPI36161,?,Other Database Import,NA
A/Waikato/154/2003,EPI36104,?,Other Database Import,NA
A/Waikato/155/2003,EPI36731,?,Other Database Import,NA
A/Waikato/156/2003,EPI36750,?,Other Database Import,NA
A/Waikato/16/2000,EPI39213,?,Other Database Import,NA
A/Waikato/16/2005,EPI40852,?,Other Database Import,NA
A/Waikato/16/2008,EPI168598,?,Centers For Disease Control And Prevention,NA
A/Waikato/17/2000,EPI39232,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Waikato/17/2008,EPI168600,?,Centers For Disease Control And Prevention,NA
A/Waikato/18/2005,EPI46369,?,Other Database Import,NA
A/Waikato/2/2002,EPI35876,?,Other Database Import,NA
A/Waikato/2/2005,EPI44333,?,Other Database Import,NA
A/Waikato/20/2000,EPI38441,?,Other Database Import,NA
A/Waikato/21/2002,EPI35097,?,Other Database Import,NA
A/Waikato/21/2003,EPI38555,?,Other Database Import,NA
A/Waikato/22/2004,EPI39479,?,Other Database Import,NA
A/Waikato/23/2002,EPI44257,?,Other Database Import,NA
A/Waikato/25/2002,EPI38498,?,Other Database Import,NA
A/Waikato/29/2002,EPI35990,?,Other Database Import,NA
A/Waikato/29/2003,EPI36769,?,Other Database Import,NA
A/Waikato/3/2003,EPI35287,Institute Of Environmental Science & Research,Other Database Import,NA
A/Waikato/3/2005,EPI44352,?,Other Database Import,NA
A/Waikato/31/2002,EPI39270,?,Other Database Import,NA
A/Waikato/31/2004,EPI59213,?,Other Database Import,NA
A/Waikato/35/2004,EPI39536,?,Other Database Import,NA
A/Waikato/36/2002,EPI38517,?,Other Database Import,NA
A/Waikato/4/2000,EPI37396,?,Other Database Import,NA
A/Waikato/42/2003,EPI1447652,Institute Of Environmental Science & Research,Who Collaborating Centre For Reference And Research On Influenza,NA
A/Waikato/46/2003,EPI38574,?,Other Database Import,NA
A/Waikato/49/2006,EPI1990185,Institute Of Environmental Science And Research (esr),Who Collaborating Centre For Reference And Research On Influenza,NA
A/Waikato/5/2000,EPI35838,?,Other Database Import,NA
A/Waikato/5/2001,EPI38460,?,Other Database Import,NA
A/Waikato/5/2002,EPI35040,?,Other Database Import,NA
A/Waikato/51/2002,EPI36066,?,Other Database Import,NA
A/Waikato/51/2004,EPI40510,?,Other Database Import,NA
A/Waikato/52/2002,EPI36047,?,Other Database Import,NA
A/Waikato/53/2003,EPI38593,?,Other Database Import,NA
A/Waikato/54/2003,EPI38612,?,Other Database Import,NA
A/Waikato/58/2002,EPI35135,?,Other Database Import,NA
A/Waikato/58/2006,EPI1990188,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Waikato/6/2000,EPI38403,?,Other Database Import,NA
A/Waikato/6/2005,EPI61693,?,Other Database Import,NA
A/Waikato/61/2003,EPI35344,?,Other Database Import,NA
A/Waikato/64/2004,EPI40548,?,Other Database Import,NA
A/Waikato/68/2004,EPI40567,?,Other Database Import,NA
A/Waikato/69/2004,EPI40586,?,Other Database Import,NA
A/Waikato/7/2000,EPI37415,?,Other Database Import,NA
A/Waikato/7/2005,EPI40833,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Waikato/70/2004,EPI46331,?,Other Database Import,NA
A/Waikato/71/2004,EPI40605,?,Other Database Import,NA
A/Waikato/72/2004,EPI40643,?,Other Database Import,NA
A/Waikato/73/2004,EPI40662,Institute Of Environmental Science And Research (esr),Other Database Import,NA
A/Waikato/75/2003,EPI35363,?,Other Database Import,NA
A/Waikato/8/2000,EPI45796,?,Other Database Import,NA
A/Waikato/8/2005,EPI40814,?,Other Database Import,NA
A/Waikato/8/2008,EPI2041057,Institute Of Environmental Science And Research (esr),Who Collaborating Centre For Reference And Research On Influenza,NA
A/Waikato/9/2000,EPI38422,?,Other Database Import,NA
A/Waikato/91/2003,EPI36123,?,Other Database Import,NA
A/Waikato/94/2003,EPI38631,?,Other Database Import,NA
A/Wakayama-C/100/2017,EPI1086425,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/101/2017,EPI1086427,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/102/2017,EPI1086429,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/103/2015,EPI672294,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/104/2015,EPI674595,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/105/2015,EPI670320,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/107/2017,EPI1118571,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/120/2016,EPI774071,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/137/2017,EPI1257596,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/151/2016,EPI1002851,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/25/2011,EPI336899,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/37/2018,EPI1253019,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/53/2013,EPI511073,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/8/2013,EPI445790,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/88/2014,EPI543758,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/93/2015,EPI586575,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama-C/99/2017,EPI1086423,Wakayama City Institute Of Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/1/2012,EPI353273,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/100/2018,EPI1335550,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/104/2017,EPI1037877,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/121/2014,EPI537775,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/125/2013,EPI445812,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/127/2012,EPI375465,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/139/2013,EPI445817,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/14/2009,EPI211163,?,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/150/2016,EPI917313,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/154/2011,EPI336897,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/157/2013,EPI515288,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/16/2012,EPI363080,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/18/2019,EPI1381318,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/2/2015,EPI624489,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/51/2016,EPI743776,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/62/2018,EPI1253003,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/87/2017,EPI997192,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/97/2018,EPI1335502,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wakayama/98/2018,EPI1335546,Wakayama Prefectural Research Center Of Environment And Public Health,National Institute Of Infectious Diseases (niid),NA
A/Wallonia/G827/2009,EPI215119,Scientific Institute Of Public Health,National Institute For Medical Research,NA
A/Washington/1/2004,EPI116180,?,Other Database Import,NA
A/Washington/1/2007,EPI466985,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/1/2012,EPI353479,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/10/2006,EPI123148,?,Centers For Disease Control And Prevention,NA
A/Washington/10/2011,EPI319833,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/10/2012,EPI360920,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/10/2013,EPI486587,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/10/2014,EPI516691,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/106/2016,EPI1090849,Washington State Public Health Laboratory,Other Database Import,NA
A/Washington/11/2006,EPI123150,?,Centers For Disease Control And Prevention,NA
A/Washington/11/2012,EPI360923,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/110/2016,EPI895657,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/111/2016,EPI895665,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/12/2011,EPI331258,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/12/2012,EPI360935,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/12/2014,EPI533469,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/13/2012,EPI360929,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/13/2013,EPI499371,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/13/2014,EPI533464,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/14/2007,EPI134475,?,Centers For Disease Control And Prevention,NA
A/Washington/14/2015,EPI579291,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/16/2009,EPI185938,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/16/2012,EPI363011,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/16/2015,EPI579297,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/16/2017,EPI1047573,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/17/2011,EPI340954,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/17/2012,EPI367502,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/17/2013,EPI499384,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/17/2015,EPI578725,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/17/2016,EPI715714,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/170/2019,EPI1432287,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/18/2011,EPI349385,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/18/2013,EPI498499,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/18/2014,EPI548069,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/18/2015,EPI584684,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/18/2016,EPI715722,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/180/2018,EPI1318193,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/181/2018,EPI1318185,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/184/2018,EPI1322610,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/186/2018,EPI1327691,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/19/2009,EPI193966,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/19/2014,EPI553849,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/2/2010,EPI301771,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/2/2015,EPI567401,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/20/2007,EPI126019,?,Centers For Disease Control And Prevention,NA
A/Washington/20/2012,EPI371823,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/20/2014,EPI623464,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/21/2012,EPI371826,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/21/2014,EPI579013,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/22/2014,EPI623469,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/22/2015,EPI588648,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/225/2018,EPI1372712,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/23/2012,EPI377501,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/24/2015,EPI622043,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/26/2016,EPI747367,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/292/2017,EPI1026877,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/295/2017,EPI1091120,?,Other Database Import,NA
A/Washington/3/2008,EPI159834,?,Centers For Disease Control And Prevention,NA
A/Washington/30/2016,EPI747504,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/303/2017,EPI1094573,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/306/2017,EPI1094565,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/31/2014,EPI558499,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/31/2015,EPI622001,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/32/2015,EPI626466,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/33/2012,EPI394771,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/33/2014,EPI1743857,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/33/2018,EPI1185606,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/33/2019,EPI1372720,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/34/2015,EPI626460,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/34/2017,EPI977171,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/34/2018,EPI1185598,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/35/2015,EPI626452,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/35/2016,EPI731124,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/36/2007,EPI134519,?,Centers For Disease Control And Prevention,NA
A/Washington/36/2013,EPI501418,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/36/2014,EPI556711,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/36/2015,EPI631862,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/37/2015,EPI624126,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/39/2015,EPI639286,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/4/2008,EPI159842,?,Centers For Disease Control And Prevention,NA
A/Washington/4/2009,EPI185928,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/4/2011,EPI309540,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/40/2017,EPI1017390,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/41/2015,EPI671157,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/41/2016,EPI771410,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/42/2015,EPI671165,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/43/2012,EPI394999,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/43/2015,EPI671173,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/44/2014,EPI565462,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/44/2015,EPI671181,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/45/2015,EPI685986,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/46/2013,EPI503918,Spokane Regional Health District,Centers For Disease Control And Prevention,NA
A/Washington/46/2014,EPI564617,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/47/2014,EPI564801,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/47/2015,EPI676827,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/47/2016,EPI761903,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/48/2015,EPI676835,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/5/2009,EPI185930,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/5/2015,EPI579285,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/50/2012,EPI398029,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/50/2015,EPI673815,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/50/2016,EPI761910,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/52/2012,EPI401745,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/52/2015,EPI688494,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/52/2016,EPI761918,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/53/2009,EPI232640,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/53/2015,EPI677392,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/54/2009,EPI232643,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/54/2015,EPI677400,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/55/2009,EPI232646,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/55/2015,EPI675451,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/55/2016,EPI761926,Seattle & King County Public Health Lab,Centers For Disease Control And Prevention,NA
A/Washington/56/2009,EPI232649,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/56/2015,EPI675459,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/56/2016,EPI771426,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
A/Washington/57/2014,EPI567475,Marshfield Clinic Research Foundation,Centers For Disease Control And Prevention,NA
A/Washington/57/2015,EPI677589,Washington State Public Health Laboratory,Centers For Disease Control And Prevention,NA
